page_link,PAGE_ID,Page_name,page followers,video posts_count,page_views,status,error
https://www.facebook.com/profile.php?id=1040451862493310,1.04045E+15,Fruity AI,1000,2,36955,success,
https://www.facebook.com/profile.php?id=1048968234970308,1.04897E+15,Story Zone,10,3,2194,success,
https://www.facebook.com/profile.php?id=1028067933731577,1.02807E+15,Stories TIME,4,3,1,success,
https://www.facebook.com/profile.php?id=1072236485978041,1.07224E+15,Night Whispers,0,1,0,video_links_found_but_yt_dlp_failed,"Selenium found video links, but yt-dlp could not extract metadata. Try cookies.txt or login browser profile."
https://www.facebook.com/profile.php?id=61589025186455,1.08756E+15,Kevin Edits,18,2,24,success,
https://www.facebook.com/profile.php?id=61589182615457,1.07977E+15,ibministories,27,2,11,success,
https://www.facebook.com/profile.php?id=61589209498016,1.01281E+15,katmeowvibes,18,2,100,success,
https://www.facebook.com/profile.php?id=1102938926234642,1.10294E+15,Ibminis,0,2,15,success,
https://www.facebook.com/profile.php?id=61588909033375,1.10556E+15,Story.here,13,2,246,success,
https://www.facebook.com/profile.php?id=61589218410865,1.1055E+15,IB Skits,3,2,153,success,
https://www.facebook.com/profile.php?id=61589230348574,1.12108E+15,Italian Brainrot Daily,8,2,2636,success,
https://www.facebook.com/profile.php?id=61589370534846,1.11632E+15,CatMemes,0,2,2,success,
https://www.facebook.com/profile.php?id=61588977748913,1.05869E+15,CHI Stories,49,6,234,success,
https://www.facebook.com/profile.php?id=61560630371501,1.07426E+15,Cine Frutal,63,2,2881,success,
https://www.facebook.com/profile.php?id=61588986115283,1.143E+15,Apolina,12,4,92,success,
https://www.facebook.com/profile.php?id=61563655997759,1.0593E+15,Bananito Vibes,8,8,24,success,
https://www.facebook.com/profile.php?id=61589181419009,1.07405E+15,Secret stories,16,2,1437,success,
